Insurance Policy,,,,,,,Managed by : Luke T. Lawson,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Policy Number,Start Date,Last Paid Date,Tenure (Years),Date of Purchase,Customer ID,Sum Assured INR/Coverage Amount,Premium Amount,Payment Frequency,Loan Eligible,Loan Amount Allowed,Underwriting expenses,Sales Agent Code,Purchase Month,Purchase Quarter,Purchase Year,Policy Anniversary Date,Claim ID,Policy Type Code,Policy Code,Policy Status,State,RM ID,Zonal Manager ID
INS-POL-620933,08-08-2019,08-Aug-25,20,08-Aug-19,CUST-923817,17773.97,924.88,Monthly,No,7141.83,92.16,AGT-5980,August,Q3,2019,08-Aug-20,CLM-918788,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-935489,12-06-2016,12-Jun-25,20,12-Jun-16,CUST-606445,18306.63,67.47,Quarterly,No,9592.08,87.84,AGT-5980,June,Q2,2016,12-Jun-17,CLM-376320,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-771394,19-10-2024,19-Oct-25,20,19-Oct-24,CUST-945819,2007.05,241.92,Annually,No,800.88,9.06,AGT-5980,October,Q4,2024,19-Oct-25,CLM-352236,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-620775,11-08-2018,11-Aug-25,20,11-Aug-18,CUST-675547,8984.19,271.92,Monthly,Yes,4910.16,86.58,AGT-5980,August,Q3,2018,11-Aug-19,CLM-319162,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-907669,30-11-2015,30-Nov-25,20,30-Nov-15,CUST-644603,5766.74,796.16,Annually,Yes,2173.69,59.56,AGT-5980,November,Q4,2015,30-Nov-16,CLM-216027,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-846900,20-12-2021,20-Dec-25,20,20-Dec-21,CUST-244271,5411.20,742.89,Monthly,No,2627.63,9.60,AGT-5980,December,Q4,2021,20-Dec-22,CLM-633820,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-638217,22-02-2024,22-Feb-25,20,22-Feb-24,CUST-522522,16606.09,1067.03,Monthly,No,6318.19,83.12,AGT-5980,February,Q1,2024,22-Feb-25,CLM-877176,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-752780,27-01-2016,27-Jan-25,20,27-Jan-16,CUST-178411,6736.75,319.39,Monthly,No,3146.08,84.19,AGT-5980,January,Q1,2016,27-Jan-17,CLM-191728,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-874812,19-06-2024,19-Jun-25,20,19-Jun-24,CUST-997441,17213.88,426.14,Quarterly,Yes,7183.61,115.13,AGT-5980,June,Q2,2024,19-Jun-25,CLM-822144,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-777460,11-12-2022,11-Dec-25,20,11-Dec-22,CUST-813953,19874.08,480.83,Quarterly,Yes,9936.26,52.72,AGT-5980,December,Q4,2022,11-Dec-23,CLM-934428,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-352145,23-07-2020,23-Jul-25,20,23-Jul-20,CUST-948481,14453.29,953.26,Annually,No,5547.57,85.49,AGT-5980,July,Q3,2020,23-Jul-21,CLM-943550,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-608539,25-02-2019,25-Feb-25,20,25-Feb-19,CUST-556904,19539.52,351.14,Quarterly,Yes,6626.91,75.19,AGT-5980,February,Q1,2019,25-Feb-20,CLM-224894,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-233800,27-09-2017,27-Sep-25,20,27-Sep-17,CUST-155734,21796.25,956.93,Quarterly,No,10948.93,40.75,AGT-5980,September,Q3,2017,27-Sep-18,CLM-500471,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-826082,01-10-2020,01-Oct-25,20,01-Oct-20,CUST-779667,10219.72,661.91,Quarterly,No,6119.80,64.60,AGT-5980,October,Q4,2020,01-Oct-21,CLM-923670,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-701470,06-09-2023,06-Sep-25,20,06-Sep-23,CUST-661032,14460.92,795.15,Quarterly,Yes,7450.39,45.91,AGT-5980,September,Q3,2023,06-Sep-24,CLM-457485,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-152157,18-12-2023,18-Dec-25,20,18-Dec-23,CUST-483622,8761.01,437.29,Monthly,No,2989.49,66.12,AGT-5980,December,Q4,2023,18-Dec-24,CLM-618988,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-179494,17-03-2020,17-Mar-25,20,17-Mar-20,CUST-769277,11568.67,1083.04,Annually,No,4850.96,84.92,AGT-5980,March,Q1,2020,17-Mar-21,CLM-532675,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-472061,17-08-2022,17-Aug-25,20,17-Aug-22,CUST-664103,23387.80,825.29,Monthly,No,13600.81,48.13,AGT-5980,August,Q3,2022,17-Aug-23,CLM-781554,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-805904,14-12-2019,14-Dec-25,20,14-Dec-19,CUST-448907,14326.35,678.44,Monthly,Yes,6206.00,93.00,AGT-5980,December,Q4,2019,14-Dec-20,CLM-726423,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-965874,07-02-2024,07-Feb-25,20,07-Feb-24,CUST-961448,20059.59,854.71,Monthly,Yes,6510.63,59.95,AGT-5980,February,Q1,2024,07-Feb-25,CLM-420305,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-179179,22-08-2024,22-Aug-25,20,22-Aug-24,CUST-264452,5730.58,952.20,Annually,Yes,2058.78,83.37,AGT-5980,August,Q3,2024,22-Aug-25,CLM-164884,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-137200,25-11-2024,25-Nov-25,20,25-Nov-24,CUST-533738,7982.32,638.02,Monthly,Yes,4624.94,96.88,AGT-5980,November,Q4,2024,25-Nov-25,CLM-890200,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-537461,18-12-2020,18-Dec-25,20,18-Dec-20,CUST-559453,2955.95,1015.32,Annually,Yes,1743.54,64.18,AGT-5980,December,Q4,2020,18-Dec-21,CLM-926673,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-846657,02-11-2023,02-Nov-25,20,02-Nov-23,CUST-310236,16359.74,219.41,Monthly,Yes,6954.07,48.52,AGT-5980,November,Q4,2023,02-Nov-24,CLM-701781,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-223417,04-07-2023,04-Jul-25,20,04-Jul-23,CUST-500212,19756.90,430.56,Annually,No,10427.29,16.73,AGT-5980,July,Q3,2023,04-Jul-24,CLM-813942,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-980664,12-06-2020,12-Jun-25,20,12-Jun-20,CUST-561647,4153.08,473.48,Monthly,Yes,1250.56,27.95,AGT-5980,June,Q2,2020,12-Jun-21,CLM-543612,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-313173,10-12-2016,10-Dec-25,20,10-Dec-16,CUST-681291,1493.29,517.66,Quarterly,Yes,529.05,16.70,AGT-5980,December,Q4,2016,10-Dec-17,CLM-811833,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-276767,13-05-2021,13-May-25,20,13-May-21,CUST-554637,20983.48,301.19,Monthly,No,7694.02,60.89,AGT-5980,May,Q2,2021,13-May-22,CLM-655181,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-423993,18-12-2017,18-Dec-25,20,18-Dec-17,CUST-262911,4616.30,594.41,Annually,Yes,2498.48,74.45,AGT-5980,December,Q4,2017,18-Dec-18,CLM-927219,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-674856,15-09-2018,15-Sep-25,20,15-Sep-18,CUST-896066,11934.40,160.82,Quarterly,No,3909.23,89.53,AGT-5980,September,Q3,2018,15-Sep-19,CLM-584282,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-475205,31-05-2019,31-May-25,20,31-May-19,CUST-353654,10068.88,213.56,Quarterly,No,3615.00,12.13,AGT-5980,May,Q2,2019,31-May-20,CLM-993294,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-385222,06-07-2021,06-Jul-25,20,06-Jul-21,CUST-361827,15288.07,863.82,Monthly,Yes,7108.63,41.16,AGT-5980,July,Q3,2021,06-Jul-22,CLM-750719,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-312353,22-04-2024,22-Apr-25,20,22-Apr-24,CUST-716263,23335.90,201.92,Annually,No,9433.79,14.17,AGT-5980,April,Q2,2024,22-Apr-25,CLM-662980,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-924724,04-10-2019,04-Oct-25,20,04-Oct-19,CUST-409415,9804.69,1089.17,Annually,Yes,3637.11,102.79,AGT-5980,October,Q4,2019,04-Oct-20,CLM-825060,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-385986,05-08-2022,05-Aug-25,20,05-Aug-22,CUST-574597,4534.19,193.79,Annually,Yes,2487.94,103.19,AGT-5980,August,Q3,2022,05-Aug-23,CLM-326574,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-965387,11-06-2024,11-Jun-25,20,11-Jun-24,CUST-198094,18617.25,381.51,Annually,Yes,7017.41,29.32,AGT-5980,June,Q2,2024,11-Jun-25,CLM-397953,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-331840,11-07-2021,11-Jul-25,20,11-Jul-21,CUST-508227,11372.41,1087.54,Quarterly,No,4695.57,16.56,AGT-5980,July,Q3,2021,11-Jul-22,CLM-892467,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-344981,19-10-2015,19-Oct-25,20,19-Oct-15,CUST-424190,18154.30,208.89,Monthly,No,8127.75,69.47,AGT-5980,October,Q4,2015,19-Oct-16,CLM-635432,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-117404,29-05-2018,29-May-25,20,29-May-18,CUST-741055,7536.27,609.23,Annually,No,3897.07,91.78,AGT-5980,May,Q2,2018,29-May-19,CLM-183613,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-778271,24-03-2016,24-Mar-25,20,24-Mar-16,CUST-275052,17040.66,952.17,Monthly,No,8548.16,27.25,AGT-5980,March,Q1,2016,24-Mar-17,CLM-394860,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-794631,11-08-2018,11-Aug-25,20,11-Aug-18,CUST-442186,1313.85,337.83,Quarterly,Yes,488.86,95.43,AGT-5980,August,Q3,2018,11-Aug-19,CLM-673939,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-629030,04-05-2020,04-May-25,20,04-May-20,CUST-519335,23443.37,580.61,Monthly,No,10712.89,37.45,AGT-5980,May,Q2,2020,04-May-21,CLM-301397,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-783685,09-05-2022,09-May-25,20,09-May-22,CUST-260592,11146.71,1052.31,Monthly,Yes,4055.56,7.07,AGT-5980,May,Q2,2022,09-May-23,CLM-335522,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-793935,01-09-2015,01-Sep-25,20,01-Sep-15,CUST-596191,14282.15,746.98,Quarterly,Yes,6351.76,56.52,AGT-5980,September,Q3,2015,01-Sep-16,CLM-582996,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-597921,08-09-2021,08-Sep-25,20,08-Sep-21,CUST-616694,3642.66,507.42,Annually,Yes,2118.39,71.31,AGT-5980,September,Q3,2021,08-Sep-22,CLM-228045,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-859664,24-08-2017,24-Aug-25,20,24-Aug-17,CUST-107865,21396.92,576.56,Annually,No,8575.74,99.71,AGT-5980,August,Q3,2017,24-Aug-18,CLM-759187,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-304066,10-12-2021,10-Dec-25,20,10-Dec-21,CUST-556997,19469.72,671.16,Quarterly,No,8229.73,69.66,AGT-5980,December,Q4,2021,10-Dec-22,CLM-348078,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-299906,10-12-2019,10-Dec-25,20,10-Dec-19,CUST-681023,8724.26,1094.56,Annually,Yes,4367.26,23.56,AGT-5980,December,Q4,2019,10-Dec-20,CLM-160705,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-390099,20-08-2022,20-Aug-25,20,20-Aug-22,CUST-167252,1454.26,337.20,Monthly,Yes,743.51,77.32,AGT-5980,August,Q3,2022,20-Aug-23,CLM-964864,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-999226,01-11-2016,01-Nov-25,20,01-Nov-16,CUST-267422,18990.06,1036.67,Monthly,No,7154.95,106.29,AGT-5980,November,Q4,2016,01-Nov-17,CLM-509669,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-205673,27-09-2017,27-Sep-25,20,27-Sep-17,CUST-478874,19338.93,217.28,Annually,No,9458.58,13.33,AGT-5980,September,Q3,2017,27-Sep-18,CLM-784563,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-309608,03-04-2024,03-Apr-25,20,03-Apr-24,CUST-194333,4494.70,682.16,Monthly,No,2236.35,53.53,AGT-5980,April,Q2,2024,03-Apr-25,CLM-283081,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-286735,02-01-2019,02-Jan-25,20,02-Jan-19,CUST-340393,6392.57,1024.10,Monthly,Yes,3570.40,116.54,AGT-5980,January,Q1,2019,02-Jan-20,CLM-731222,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-888294,13-05-2021,13-May-25,20,13-May-21,CUST-265331,4968.79,236.71,Monthly,No,2967.34,22.43,AGT-5980,May,Q2,2021,13-May-22,CLM-360184,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-206101,14-08-2017,14-Aug-25,20,14-Aug-17,CUST-248147,12072.82,558.10,Annually,Yes,7205.38,96.86,AGT-5980,August,Q3,2017,14-Aug-18,CLM-685817,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-829851,29-01-2020,29-Jan-25,20,29-Jan-20,CUST-106728,15405.34,1122.68,Quarterly,No,8071.33,83.59,AGT-5980,January,Q1,2020,29-Jan-21,CLM-111601,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-761287,10-06-2017,10-Jun-25,20,10-Jun-17,CUST-374282,21778.19,861.95,Monthly,Yes,10025.26,32.29,AGT-5980,June,Q2,2017,10-Jun-18,CLM-678661,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-928042,08-02-2016,08-Feb-25,20,08-Feb-16,CUST-314621,7051.26,527.76,Monthly,Yes,2837.35,96.76,AGT-5980,February,Q1,2016,08-Feb-17,CLM-681627,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-488107,08-03-2024,08-Mar-24,20,01-May-25,CUST-365128,2425.81,499.65,Annually,Yes,1007.45,53.71,AGT-5980,May,Q2,2025,01-May-26,CLM-720651,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-579625,23-09-2023,23-Sep-25,20,23-Sep-23,CUST-766768,2380.55,346.67,Monthly,Yes,1214.98,115.23,AGT-5980,September,Q3,2023,23-Sep-24,CLM-407872,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-340645,24-11-2017,24-Nov-25,20,24-Nov-17,CUST-140174,15476.96,596.36,Monthly,Yes,7620.61,102.21,AGT-5980,November,Q4,2017,24-Nov-18,CLM-960074,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-643118,25-08-2015,25-Aug-25,20,25-Aug-15,CUST-308462,23068.90,486.41,Monthly,No,13102.64,93.63,AGT-5980,August,Q3,2015,25-Aug-16,CLM-402659,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-169743,07-07-2020,07-Jul-25,20,07-Jul-20,CUST-872059,16743.94,598.26,Monthly,No,8208.91,102.60,AGT-5980,July,Q3,2020,07-Jul-21,CLM-485298,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-595986,06-08-2018,06-Aug-25,20,06-Aug-18,CUST-873806,2580.86,765.38,Annually,Yes,895.82,10.39,AGT-5980,August,Q3,2018,06-Aug-19,CLM-851429,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-869554,29-08-2024,29-Aug-25,20,29-Aug-24,CUST-286779,23492.10,225.76,Monthly,No,13724.08,91.85,AGT-5980,August,Q3,2024,29-Aug-25,CLM-853783,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-351236,27-03-2018,27-Mar-25,20,27-Mar-18,CUST-142383,21064.54,681.27,Quarterly,Yes,8683.40,12.24,AGT-5980,March,Q1,2018,27-Mar-19,CLM-296650,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-234919,28-07-2018,28-Jul-25,20,28-Jul-18,CUST-623330,13435.11,59.96,Annually,Yes,7056.51,69.06,AGT-5980,July,Q3,2018,28-Jul-19,CLM-856819,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-878817,12-01-2017,12-Jan-25,20,12-Jan-17,CUST-284023,2074.51,585.07,Quarterly,Yes,834.73,21.07,AGT-5980,January,Q1,2017,12-Jan-18,CLM-753954,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-896329,17-02-2017,17-Feb-25,20,17-Feb-17,CUST-732769,22693.85,631.96,Annually,Yes,8105.35,30.64,AGT-5980,February,Q1,2017,17-Feb-18,CLM-454966,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-277523,23-01-2018,23-Jan-25,20,23-Jan-18,CUST-519215,19943.10,78.96,Annually,No,6947.20,16.89,AGT-5980,January,Q1,2018,23-Jan-19,CLM-454619,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-470316,04-06-2020,04-Jun-25,20,04-Jun-20,CUST-228325,12519.36,953.63,Annually,Yes,5399.52,55.51,AGT-5980,June,Q2,2020,04-Jun-21,CLM-516791,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-744149,07-07-2018,07-Jul-25,20,07-Jul-18,CUST-294823,11531.92,466.79,Annually,Yes,6361.14,46.33,AGT-5980,July,Q3,2018,07-Jul-19,CLM-318195,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-711429,31-05-2021,31-May-25,20,31-May-21,CUST-139263,15785.78,564.63,Monthly,No,8770.87,73.37,AGT-5980,May,Q2,2021,31-May-22,CLM-291850,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-484103,25-07-2018,25-Jul-25,20,25-Jul-18,CUST-170430,1413.57,553.83,Monthly,No,833.30,91.19,AGT-5980,July,Q3,2018,25-Jul-19,CLM-790536,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-981272,24-01-2022,24-Jan-25,20,24-Jan-22,CUST-151709,22074.86,534.52,Annually,No,11162.72,94.86,AGT-5980,January,Q1,2022,24-Jan-23,CLM-100667,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-633843,26-03-2020,26-Mar-25,20,26-Mar-20,CUST-487229,11070.52,602.69,Quarterly,Yes,4061.15,74.23,AGT-5980,March,Q1,2020,26-Mar-21,CLM-799008,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-640631,05-05-2019,05-May-25,20,05-May-19,CUST-452837,1581.59,1063.30,Quarterly,Yes,726.98,108.03,AGT-5980,May,Q2,2019,05-May-20,CLM-254231,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-509042,08-06-2022,08-Jun-25,20,08-Jun-22,CUST-694542,1835.09,647.41,Monthly,No,815.58,50.22,AGT-5980,June,Q2,2022,08-Jun-23,CLM-919050,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-551250,08-11-2015,08-Nov-25,20,08-Nov-15,CUST-537501,14626.47,105.26,Annually,No,7307.66,43.46,AGT-5980,November,Q4,2015,08-Nov-16,CLM-270993,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-719138,08-03-2024,08-Mar-24,20,09-May-25,CUST-980229,20756.77,624.95,Quarterly,Yes,6627.34,105.10,AGT-5980,May,Q2,2025,09-May-26,CLM-468182,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-974675,04-11-2022,04-Nov-25,20,04-Nov-22,CUST-311672,10108.40,601.76,Monthly,Yes,4421.11,78.31,AGT-5980,November,Q4,2022,04-Nov-23,CLM-111843,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-609913,13-12-2023,13-Dec-25,20,13-Dec-23,CUST-554381,17485.64,785.91,Monthly,Yes,8629.91,41.84,AGT-5980,December,Q4,2023,13-Dec-24,CLM-379046,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-281741,08-03-2024,08-Mar-24,20,05-Jan-25,CUST-797209,2941.59,872.49,Monthly,No,1170.80,17.48,AGT-5980,January,Q1,2025,05-Jan-26,CLM-872556,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-977033,02-09-2015,02-Sep-25,20,02-Sep-15,CUST-544185,15575.38,1039.25,Monthly,No,8793.92,79.91,AGT-5980,September,Q3,2015,02-Sep-16,CLM-323363,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-241009,01-09-2016,01-Sep-25,20,01-Sep-16,CUST-658553,4050.81,682.53,Quarterly,No,1803.80,102.41,AGT-5980,September,Q3,2016,01-Sep-17,CLM-187580,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-617959,08-03-2024,08-Mar-24,20,30-Apr-25,CUST-344039,15906.28,974.84,Monthly,No,7895.71,28.69,AGT-5980,April,Q2,2025,30-Apr-26,CLM-844206,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-526587,11-06-2021,11-Jun-25,20,11-Jun-21,CUST-158146,4521.36,1006.60,Quarterly,No,2323.38,54.31,AGT-5980,June,Q2,2021,11-Jun-22,CLM-956534,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-436635,06-06-2022,06-Jun-25,20,06-Jun-22,CUST-648105,14434.52,505.12,Quarterly,Yes,8468.91,100.74,AGT-5980,June,Q2,2022,06-Jun-23,CLM-401777,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-469638,02-07-2023,02-Jul-25,20,02-Jul-23,CUST-695978,20469.32,148.52,Quarterly,Yes,11295.25,92.42,AGT-5980,July,Q3,2023,02-Jul-24,CLM-452437,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-973860,23-02-2022,23-Feb-25,20,23-Feb-22,CUST-970666,20252.09,211.60,Annually,No,6277.39,88.89,AGT-5980,February,Q1,2022,23-Feb-23,CLM-111145,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-553810,24-02-2019,24-Feb-25,20,24-Feb-19,CUST-236247,9343.47,858.80,Annually,No,4315.30,79.88,AGT-5980,February,Q1,2019,24-Feb-20,CLM-799516,PT-UNCD988,UGP-PLCD-9834,Active,Georgia,RMS4B9K2,ZMS5Q4R2
INS-POL-557457,18-03-2018,18-Mar-25,20,18-Mar-18,CUST-657924,18206.02,987.45,Quarterly,Yes,9946.49,15.22,AGT-3894,March,Q1,2018,18-Mar-19,CLM-860018,PT-UNCD988,UGP-PLCD-9834,Active,California,RMW8C6P3,ZMW3T7P8
INS-POL-321302,11-06-2017,11-Jun-25,20,11-Jun-17,CUST-257863,20850.34,450.40,Quarterly,Yes,9539.74,18.30,AGT-3894,June,Q2,2017,11-Jun-18,CLM-411955,PT-UNCD988,UGP-PLCD-9834,Active,California,RMW8C6P3,ZMW3T7P8
